1N,1P,1T,2N,2P,2T,3N,3P,3T,4N,4P,5N,5P,5T
ENSG00000168484.8,28767.00391,22426.87305,6533.837891,23084.96484,12222.15918,8248.804688,29075.10352,6966.305176,48.354584,30543.09961,14203.67285,23772.25195,11143.74023,343.22998
ENSG00000198804.2,15811.46777,19209.68359,25196.38281,14684.41602,20457.52539,20885.00977,10942.04102,14460.78125,5895.62207,14390.6084,16299.03613,14238.8125,16493.99219,16197.04297
ENSG00000185303.11,14503.80078,13636.30664,18598.4668,10744.83008,17593.91992,14790.2832,14667.26074,4258.110352,273.97702,14027.12207,14796.04102,17765.04102,13131.69531,534.748779
ENSG00000198938.2,13090.17871,14767.41113,20601.46875,11150.24512,18247.14648,17579.83398,6778.376465,9871.915039,3404.267334,11599.41016,12116.90137,9992.737305,11534.32715,16245.29395
ENSG00000198886.2,10189.72461,14520.62207,18867.28516,11260.85449,13692.04199,12838.40918,6002.374512,8057.783203,2278.28125,10963.44727,9493.317383,9678.37793,12416.7793,11842.08203
ENSG00000228253.1,9619.064453,14061.29395,20552.62891,9863.967773,15838.47559,13169.2959,4561.09375,7279.583984,959.914856,9886.433594,9225.030273,8791.107422,12110.1875,11754.91016
ENSG00000087086.9,9142.020508,13600.81055,7140.967773,5664.027344,13578.85156,13044.42285,7614.471191,19745.5625,1585.984131,5858.783691,15938.55859,8281.228516,13870.40723,4016.34082
ENSG00000198712.1,8101.483887,10560.83789,12522.59082,8001.411621,11475.31543,10924.15039,5005.259766,6726.853027,5205.384277,8188.919922,7015.229492,7969.422852,9733.673828,15133.85645
ENSG00000198888.2,7448.933594,10484.5,12780.70215,8405.785156,11618.83008,10015.36133,4662.338867,6117.919922,2566.296387,6865.597656,6560.765137,7793.101074,8696.68457,4208.530273
ENSG00000156508.13,7375.702148,3629.61084,3206.521484,4784.242676,3881.112549,8036.39502,4806.910156,5787.54248,4121.169922,6892.949707,4081.869141,6030.941406,5391.18457,6333.946289
ENSG00000198763.3,6963.029297,9812.725586,12656.55273,7539.01123,9186.744141,7992.354492,3649.258057,5176.734375,1954.545776,5566.270996,4940.410645,6278.965332,8570.951172,5692.004883
ENSG00000198727.2,6240.408203,8111.375977,9607.100586,6603.537598,8250.401367,7200.833008,3546.281982,4686.85791,1976.570923,6213.599121,5710.772461,5711.749023,6870.926758,7841.359375
ENSG00000205542.6,5598.833496,4998.290527,3893.490967,5230.039062,5714.417969,6235.428223,5170.12793,5198.945801,1899.372437,5159.558594,5463.347168,5746.269043,5799.223633,3142.053223
ENSG00000198786.2,5546.206055,7188.399414,9588.101562,6222.058105,7286.246582,6732.686523,4299.386719,5660.21875,1661.680908,6685.571289,5914.468262,6320.066895,8060.049805,5221.811035
ENSG00000168878.12,5306.789062,5004.624023,5839.243652,5504.308105,4742.12207,4037.463135,7135.811035,3367.57373,8008.525879,5016.722168,4622.257812,6727.435547,4274.328125,467.58078
ENSG00000019582.10,4727.612793,4615.536621,6021.397461,3395.62207,5624.511719,6694.415527,5665.957031,5506.302246,2785.876709,4247.700684,9713,4472.495605,6143.198242,2269.866211
ENSG00000212907.2,4038.803711,9495.079102,8595.853516,4936.706543,7117.871094,5983.309082,3147.981934,4239.647461,999.825562,5051.983887,4229.958496,5552.422363,5927.035156,4949.800781
ENSG00000166710.13,3923.509277,4610.59375,2132.64209,441.695862,735.374756,728.855469,1427.064941,1674.258911,132.130127,4506.988281,1070.904663,545.28656,607.054749,256.89798
ENSG00000198695.2,3654.581299,5732.361328,7811.98584,4501.828613,5283.152832,4515.686523,3459.401855,4739.847168,777.460571,5200.847168,4201.326172,4705.63916,6893.612793,3761.154541
ENSG00000132465.6,3640.454102,337.911591,377.226257,411.153076,723.83667,992.854858,268.797791,171.673523,41.381496,1432.893433,2729.547852,154.095398,303.849091,55.814785
ENSG00000175899.10,3587.81665,2627.44043,1607.142578,3112.3125,2748.996094,1967.638306,2660.267822,3216.755127,149.292404,2960.5625,2667.985596,1989.321655,2332.538574,669.174805
