uuid,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
P0001_0017,29.95835,0.1329987,28.86897,30.46803,32.448190000000004,3.579226,577.7241,562.3875,55.25316,50.84829000000001,0.022824200000000003,2.068594,0.008860845,0.009611248,0.01787936,0.009018514,1.084028,1.103141,0.7702486,1.141267,0.005217967,3.699747,17.57747,0.5306457,18.56733,0.3164239,6.379235,1.26458,3.198593,2.426088,0.02401332,1.753425,1.231454,0.7203578,5.769742,0.4893229,11.20419,0.9701142,36.46254,0.1485393,620.6419999999999,0.2590115,1566.2420000000004,0.114484,-197.1998,-0.1321654,1549.729,0.13728189999999998,1275.206,0.242436,-197.4181,-0.1226764,2576.111,0.09233782,1020.622,0.3458525,-197.5857,-0.1168071,-21.34478,-0.2358687,33.70446,0.1515619,0.0123102,1.23181,-0.01557138,-0.6337368,0.0934694,0.3654939,38.37838,0.09903148,12.44172,0.6504165,9.48597,0.9326786,-6.3947059999999984,-0.9918922,-15.447729999999998,25.36023,0.02163552,0.01615531,0.003412094,0.1498469,0.14337850000000002,0.1304545,0.12066019999999998,6.526957,10.00333,-48.63355
P0004_0025,34.54993,0.1323371,30.78453,34.912659999999995,38.01052,7.225992,209.0988,266.0749,51.58384,67.08462,0.32034759999999995,1.329394,0.01558041,0.1027871,0.6304123,0.6148319,7.718953999999999,6.185421,4.921287,4.404563,0.16825910000000002,1.858925,19.45936,0.6302260000000001,3.501247,5.259963,5.351367,2.402403,-11.6434,-1.420976,0.03022875,1.464441,1.164354,0.7257779000000001,6.972497,0.5389715,5.350154,2.162053,24.55997,0.5389479,673.6634,0.2383144,1416.864,0.13980320000000002,-131.1064,-0.6947960999999999,1617.13,0.1213571,1100.703,0.2570273,-131.523,-0.660917,2617.064,0.06940953,894.5407,0.3193572,-134.2634,-0.6208236,-13.63183,-0.7919304,24.07977,0.4092411,0.05691887,0.4650669,-0.01479745,-1.560637,0.35311440000000005,1.115941,26.58707,0.385036,0.2161721,99.69264,3.889248,3.837457,-18.51326,-0.860259,-8.895736999999997,17.81992,0.03828974,0.009341586,0.05964982,0.9248676,2.162612,0.1599519,0.1592002,0.27885170000000004,0.5013270000000001,-24.07164
P0009_0031,27.31733,0.1394933,25.24581,27.30433,29.64149,4.395681,192.7045,403.3844,38.85356,29.64507,0.1146164,1.180948,0.009839383,0.02436737,0.2453393,0.2354999,1.936334,1.363565,1.358868,0.923471,0.04535085,1.429723,22.317870000000006,0.5139229000000001,16.91938,0.4771643,6.604678,1.232827,-0.09889787,-87.43986,0.03333141,1.403203,1.48198,0.7513778,4.775949,0.5376325,1.734047,6.076448,35.72586,0.152582,658.3636,0.2169325,1459.172,0.1337001,-174.4846,-0.3659206,1636.557,0.134749,1161.554,0.267934,-176.5337,-0.3323031,2661.433,0.09353232,991.3774,0.3534128,-177.6958,-0.314184,-22.42775,-0.2342143,33.40017,0.1672207,0.01984351,1.023699,-0.02573822,-0.4438924,0.1478454,0.4287532,35.92945,0.1752487,18.24095,0.4001599,8.825589,1.086266,-6.411974,-1.367544,-15.61633,25.45321,0.01399237,0.004721181,0.02908226,1.274434,1.102688,0.1150781,0.09809906,0.7716406,1.7639740000000002,-36.92726
P0012_0038,26.19836,0.1315566,23.94122,25.7482,28.031440000000003,4.090221,239.6262,354.4091,36.01961,38.88037,0.08654116,1.476085,0.009059884,0.01805224,0.1805797,0.1715198,2.123454,1.7412169999999998,1.640326,1.4531379999999998,0.03456391,2.005389,21.03677,0.5620126999999999,15.07419,0.5645375,7.441217,1.342925,-0.7703515999999999,-12.81567,0.02926092,1.449404,1.381421,0.7593748,4.784341,0.4704247,0.175033,52.89285,32.45264,0.21913160000000004,514.9221,0.2335931,1430.016,0.1201218,-176.0379,-0.362749,1476.114,0.11758989999999997,1220.179,0.2364509,-178.5873,-0.31963590000000003,2417.553,0.07808933,1030.03,0.2829312,-179.5787,-0.3036534,-22.92178,-0.2036333,32.31381,0.15924029999999995,0.02195037,0.8655704,-0.01928546,-0.6867141,0.1553692,0.6289895000000001,36.4431,0.1487041,16.303,0.5545262,14.60644,0.6496753000000001,-3.883256,-2.718049,-14.49475,24.41254,0.02184883,0.00983152,0.01731453,0.6890094,0.8632226999999999,0.1357364,0.1079174,0.9949231,2.10677,-37.40548
P0013_0043,30.01577,0.181089,28.47721,30.505090000000006,32.65448,4.177261,251.3252,308.0991,102.50399999999999,171.25,0.09004535,1.260458,0.008600726999999999,0.02574136,0.184583,0.17598229999999998,1.424805,1.385071,0.9777364,0.9207153,0.02753589,1.60214,15.158029999999998,0.7089871,11.50692,1.017027,11.0715,0.9332128,-0.1767934,-72.14046,0.03336873,2.087412,1.322206,0.7749159000000001,5.347822,0.5280212,4.109999,1.928524,27.413390000000003,0.3117488,658.8378,0.211816,1429.864,0.1255907,-177.5547,-0.3376601,1631.946,0.1162461,1198.507,0.2393496,-179.0462,-0.3099409,2600.277,0.06373236,935.7344,0.2931629000000001,-179.3786,-0.304449,-18.66453,-0.358431,26.52431,0.2193716,0.01366175,1.715145,-0.01788326,-0.8273603,0.099106,0.5200142,29.90205,0.1788088,13.05191,0.9734901,12.99687,0.9825104,-8.631604,-1.179555,-11.21047,20.07849,0.01058593,0.01571646,0.01735183,1.089305,1.089796,0.1041322,0.09383184,0.7991666000000001,1.580367,-41.38142
P0014_0046,22.01374,0.10988599999999997,21.32051,22.45156,23.37016,2.049656,273.5513,422.3718,83.71488000000002,95.16724,0.03128001,1.833785,0.008165688,0.009155193,0.02339101,0.01522532,0.6692507,0.5930821,0.4434253,0.3621589000000001,0.008771244000000001,2.983876,14.53136,0.7509615,14.06272,0.5550514,6.248999,1.374124,2.740817,2.919723,0.04115772,1.613319,1.2248059999999998,0.7114001,2.943899,0.5587733,4.012171,1.207696,28.87816,0.26154320000000003,496.5044,0.2067298,1466.4520000000002,0.1254429,-197.8461,-0.1206075,1441.362,0.1224639,1243.151,0.15021700000000002,-198.1414,-0.1091482,2349.954,0.06411736,949.7996,0.2396882,-198.1919,-0.1071642,-21.19296,-0.213858,27.61987,0.203111,0.01264477,1.362426,-0.01513423,-0.7056475999999999,0.07785424,0.296002,34.57138,0.09854642,14.46501,0.5049179,15.79,0.3814338,2.450013,3.3041120000000004,-12.07574,21.439,0.02367655,0.01677904,0.007662888,0.4195531,0.1269036,0.1161539,0.08053078,7.19,8.894973,-48.86686
P0016_0050,29.02856,0.1203158,26.75998,28.88067,30.9484,4.1884169999999985,144.5374,189.5482,97.38217,272.28700000000003,0.07274754,1.404923,0.008200968000000001,0.01291741,0.1740043,0.1658033,1.6627900000000002,1.497852,1.082648,0.8272849,0.02529848,1.966735,15.24323,0.7755489000000001,15.640629999999998,0.6296337,5.8537930000000005,1.723918,3.907566000000001,2.292924,0.03298623,1.362455,1.382121,0.6718854000000001,5.988155,0.409615,6.602593,1.500205,35.82318,0.2501418,526.9515,0.2813889,1501.372,0.1355906,-178.4375,-0.3328251,1475.161,0.1327225,1268.805,0.1820707,-180.0701,-0.2991919,2468.481,0.08387632,1083.794,0.3355841,-180.9667,-0.28477529999999995,-22.96052,-0.244093,33.14985,0.180256,0.007175835,2.818261,-0.008416039,-1.361385,0.1085644,0.6002794,29.1242,0.214046,25.85678,0.3600808,11.66283,0.9415666,1.329318,7.3800919999999985,-11.68168,21.54004,0.01781484,0.01796342,0.01372017,0.8780402,0.8872101,0.1277228,0.11143419999999997,1.008061,2.066955,-40.00778
P0018_0052,30.46375,0.1038317,28.801340000000003,30.6218,32.67125,3.869909,176.6036,306.7122,40.57023,73.15312,0.12394080000000003,1.164093,0.00811701,0.02813235,0.2454352,0.23731820000000006,2.323623,1.625795,1.775091,1.326947,0.04384586,1.459011,20.30083,0.661486,17.50838,0.4600942,6.388482,1.622701,0.8487971,11.92601,0.02617449,1.278041,1.203215,0.7388366,6.692678999999999,0.4116871,4.809195,1.557528,35.29951,0.2076566,667.4164,0.2382243,1491.025,0.1418996,-154.3055,-0.5151933,1613.451,0.1345471,1221.128,0.2824878,-157.0961,-0.4680169,2644.566,0.08997285,1042.737,0.4187728,-159.3979,-0.4366504,-20.53903,-0.3230271,33.15667,0.1960787,0.02550433,0.7990012,-0.01926996,-0.6161035,0.1137263,0.6241173000000001,34.01365,0.20917,17.905820000000006,0.5283512,3.934971,3.41846,-6.994224000000001,-1.362181,-13.807620000000002,23.63819,0.01732866,0.01338228,0.020833,1.430656,1.576916,0.1479104,0.1219681,0.4951428,1.426686,-36.46709
P0019_0055,30.41971,0.1719067,25.43015,30.60768,34.556999999999995,9.126842,154.7751,299.1244,148.415,366.1424,0.1838666,1.999209,0.008373400999999999,0.01185116,0.2761575,0.2677841,6.111907,4.981957,4.7755540000000005,3.705814,0.0947452,2.31589,17.25763,0.7737177,9.235627,1.123768,6.583916,1.710697,0.7613013000000001,15.26345,0.03409754,1.397015,1.338273,0.8382676,6.384265,0.5519673,7.941935000000001,1.14031,30.40205,0.2876415,556.6875,0.2981422,1454.841,0.1339674,-169.894,-0.4172227,1489.054,0.12447089999999998,1117.786,0.2345326,-170.8712,-0.3906238,2464.056,0.07102402,935.6444,0.3310173,-172.3324,-0.368149,-17.296039999999998,-0.4300457,27.63698,0.2839796,0.06326451,0.326474,-0.01610192,-1.015566,0.4272482,0.6747167,35.89603,0.2436978,3.3811150000000003,3.982142,10.87879,1.372788,-7.165885,-2.013633,-9.365667,18.67515,0.06546858,0.01993859,0.02968077,0.810767,0.7789679,0.2002083,0.1746603,1.1089129999999998,1.743086,-26.73907
P0020_0056,32.38244,0.1121031,29.10251,32.28607,35.41817,6.315666,272.7054,395.8122,32.85119,27.34706,0.08945242,1.827609,0.008315775,0.01144008,0.1609682,0.1526524,3.53844,3.275862,2.322264,2.515686,0.02962361,2.259024,15.732870000000002,0.813338,9.439107,1.085766,5.065507,1.868396,4.218659,2.066719,0.03081127,0.8814613000000001,1.346771,0.7424242,6.456039,0.466713,8.971098,0.8464058000000001,29.10462,0.2900459,671.2699,0.2493273,1509.47,0.1209003,-176.9698,-0.3490191,1588.351,0.09242651,1221.353,0.2455666,-177.2559,-0.3357367,2543.456,0.0802658,1090.333,0.3525725,-178.6296,-0.3137321,-15.33036,-0.449831,29.13185,0.2485675,0.06258926,0.2417871,-0.008994995,-1.277024,0.1488023,0.6213269,35.72937,0.2288689,3.993324,3.495003,2.588788,4.832315,3.298765,3.386633,-8.729566,18.11194,0.06289499,0.02127096,0.01172643,0.6432145,0.7308548,0.1691304,0.12909089999999998,1.275176,2.5255810000000003,-37.80169
